,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
134,20210208_152147_79_2251,4142822,PSB.SD,2/8/2021,15:21:47,2,PSScene,"[[[-78.93499997061426, 34.87370437559442], [-78.9848830602589, 34.684837783991746], [-78.599964716068, 34.61447771381466], [-78.54871304005891, 34.80421318807547], [-78.93499997061426, 34.87370437559442]]]","[[-78.93499997061426, 34.87370437559442], [-78.9848830602589, 34.684837783991746], [-78.599964716068, 34.61447771381466], [-78.54871304005891, 34.80421318807547], [-78.93499997061426, 34.87370437559442]]","POLYGON ((-78.93499997061426 34.87370437559442, -78.9848830602589 34.684837783991746, -78.599964716068 34.61447771381466, -78.54871304005891 34.80421318807547, -78.93499997061426 34.87370437559442))",100
135,20210208_152145_34_2251,4142822,PSB.SD,2/8/2021,15:21:45,0,PSScene,"[[[-78.89431229930561, 35.02626786363929], [-78.94434775956587, 34.83745025956578], [-78.55871760304649, 34.76708253794515], [-78.50739839671424, 34.95676132750533], [-78.89431229930561, 35.02626786363929]]]","[[-78.89431229930561, 35.02626786363929], [-78.94434775956587, 34.83745025956578], [-78.55871760304649, 34.76708253794515], [-78.50739839671424, 34.95676132750533], [-78.89431229930561, 35.02626786363929]]","POLYGON ((-78.89431229930561 35.02626786363929, -78.94434775956587 34.83745025956578, -78.55871760304649 34.76708253794515, -78.50739839671424 34.95676132750533, -78.89431229930561 35.02626786363929))",100
136,20210130_160355_07_2307,4114675,PSB.SD,1/30/2021,16:03:55,0,PSScene,"[[[-78.8490560852852, 34.97365414596469], [-78.89952598170962, 34.781380901895304], [-78.50861276871544, 34.71059752582988], [-78.45689839777735, 34.903410794804635], [-78.8490560852852, 34.97365414596469]]]","[[-78.8490560852852, 34.97365414596469], [-78.89952598170962, 34.781380901895304], [-78.50861276871544, 34.71059752582988], [-78.45689839777735, 34.903410794804635], [-78.8490560852852, 34.97365414596469]]","POLYGON ((-78.8490560852852 34.97365414596469, -78.89952598170962 34.781380901895304, -78.50861276871544 34.71059752582988, -78.45689839777735 34.903410794804635, -78.8490560852852 34.97365414596469))",100
137,20210129_160505_76_2403,4111788,PSB.SD,1/29/2021,16:05:05,0,PSScene,"[[[-78.89372355298484, 34.924809569169625], [-78.94265060695001, 34.73778676983563], [-78.5609325534125, 34.66876988737362], [-78.51105195410277, 34.856746120504134], [-78.89372355298484, 34.924809569169625]]]","[[-78.89372355298484, 34.924809569169625], [-78.94265060695001, 34.73778676983563], [-78.5609325534125, 34.66876988737362], [-78.51105195410277, 34.856746120504134], [-78.89372355298484, 34.924809569169625]]","POLYGON ((-78.89372355298484 34.924809569169625, -78.94265060695001 34.73778676983563, -78.5609325534125 34.66876988737362, -78.51105195410277 34.856746120504134, -78.89372355298484 34.924809569169625))",100
138,20210123_153705_1003,4094912,PS2,1/23/2021,15:37:05,0,PSScene,"[[[-78.89536777832265, 34.86997916106851], [-78.91370589334637, 34.79792167637883], [-78.64308249339784, 34.75143657315122], [-78.62505586981416, 34.82341899722467], [-78.89536777832265, 34.86997916106851]]]","[[-78.89536777832265, 34.86997916106851], [-78.91370589334637, 34.79792167637883], [-78.64308249339784, 34.75143657315122], [-78.62505586981416, 34.82341899722467], [-78.89536777832265, 34.86997916106851]]","POLYGON ((-78.89536777832265 34.86997916106851, -78.91370589334637 34.79792167637883, -78.64308249339784 34.75143657315122, -78.62505586981416 34.82341899722467, -78.89536777832265 34.86997916106851))",100
139,20210120_160218_79_2419,4086541,PSB.SD,1/20/2021,16:02:18,0,PSScene,"[[[-79.04389771489197, 34.91114875037129], [-79.0934543570349, 34.7170223704829], [-78.70051565140518, 34.648763248830754], [-78.65043612781666, 34.841582799271904], [-79.04389771489197, 34.91114875037129]]]","[[-79.04389771489197, 34.91114875037129], [-79.0934543570349, 34.7170223704829], [-78.70051565140518, 34.648763248830754], [-78.65043612781666, 34.841582799271904], [-79.04389771489197, 34.91114875037129]]","POLYGON ((-79.04389771489197 34.91114875037129, -79.0934543570349 34.7170223704829, -78.70051565140518 34.648763248830754, -78.65043612781666 34.841582799271904, -79.04389771489197 34.91114875037129))",100
140,20210120_160216_44_2419,4086541,PSB.SD,1/20/2021,16:02:16,0,PSScene,"[[[-79.00636365338228, 35.05795683149559], [-79.05607107891979, 34.86387361243487], [-78.66236129019642, 34.79551904582405], [-78.61221314850935, 34.98834090203157], [-79.00636365338228, 35.05795683149559]]]","[[-79.00636365338228, 35.05795683149559], [-79.05607107891979, 34.86387361243487], [-78.66236129019642, 34.79551904582405], [-78.61221314850935, 34.98834090203157], [-79.00636365338228, 35.05795683149559]]","POLYGON ((-79.00636365338228 35.05795683149559, -79.05607107891979 34.86387361243487, -78.66236129019642 34.79551904582405, -78.61221314850935 34.98834090203157, -79.00636365338228 35.05795683149559))",100
141,20210118_161549_38_1059,4081618,PS2.SD,1/18/2021,16:15:49,0,PSScene,"[[[-79.05901134241715, 34.93746601809684], [-79.09577205087533, 34.79266907261777], [-78.8325861280991, 34.74712803946693], [-78.79546198582429, 34.89149991985976], [-79.05901134241715, 34.93746601809684]]]","[[-79.05901134241715, 34.93746601809684], [-79.09577205087533, 34.79266907261777], [-78.8325861280991, 34.74712803946693], [-78.79546198582429, 34.89149991985976], [-79.05901134241715, 34.93746601809684]]","POLYGON ((-79.05901134241715 34.93746601809684, -79.09577205087533 34.79266907261777, -78.8325861280991 34.74712803946693, -78.79546198582429 34.89149991985976, -79.05901134241715 34.93746601809684))",100
142,20210119_160600_57_2413,4083793,PSB.SD,1/19/2021,16:06:00,0,PSScene,"[[[-78.97555195063569, 34.890942686294295], [-79.02452684578091, 34.70461258925268], [-78.64459631521892, 34.63526836430757], [-78.59411296372569, 34.822657144486676], [-78.97555195063569, 34.890942686294295]]]","[[-78.97555195063569, 34.890942686294295], [-79.02452684578091, 34.70461258925268], [-78.64459631521892, 34.63526836430757], [-78.59411296372569, 34.822657144486676], [-78.97555195063569, 34.890942686294295]]","POLYGON ((-78.97555195063569 34.890942686294295, -79.02452684578091 34.70461258925268, -78.64459631521892 34.63526836430757, -78.59411296372569 34.822657144486676, -78.97555195063569 34.890942686294295))",100
143,20210119_160558_28_2413,4083793,PSB.SD,1/19/2021,16:05:58,0,PSScene,"[[[-78.93850546306173, 35.03385910022583], [-78.98761173724921, 34.84760188891243], [-78.60704122256666, 34.778153675990445], [-78.55638782502226, 34.965470940449976], [-78.93850546306173, 35.03385910022583]]]","[[-78.93850546306173, 35.03385910022583], [-78.98761173724921, 34.84760188891243], [-78.60704122256666, 34.778153675990445], [-78.55638782502226, 34.965470940449976], [-78.93850546306173, 35.03385910022583]]","POLYGON ((-78.93850546306173 35.03385910022583, -78.98761173724921 34.84760188891243, -78.60704122256666 34.778153675990445, -78.55638782502226 34.965470940449976, -78.93850546306173 35.03385910022583))",100
