,image_id,strip_id,sensor_id,date,time,cloud_percent,item_type,image_geom,image_coords,image_area,aoi_coverage
0,20150520_134549_081f,46185,PS0,5/20/2015,13:45:49,NA,PSScene,"[[[-78.85748827648803, 34.82207999611458], [-78.80070421266433, 34.78503810841212], [-78.74754947614566, 34.840402123091124], [-78.80439473774415, 34.87745103119025], [-78.85748827648803, 34.82207999611458]]]","[[-78.85748827648803, 34.82207999611458], [-78.80070421266433, 34.78503810841212], [-78.74754947614566, 34.840402123091124], [-78.80439473774415, 34.87745103119025], [-78.85748827648803, 34.82207999611458]]","POLYGON ((-78.85748827648803 34.82207999611458, -78.80070421266433 34.78503810841212, -78.74754947614566 34.840402123091124, -78.80439473774415 34.87745103119025, -78.85748827648803 34.82207999611458))",100
0,20150607_154813_0906,50450,PS0,6/7/2015,15:48:13,NA,PSScene,"[[[-78.62670645279256, 34.80747209420133], [-78.65984917350387, 34.90859756421459], [-78.84405107752687, 34.867228952204215], [-78.8105912431186, 34.76643542559578], [-78.62670645279256, 34.80747209420133]]]","[[-78.62670645279256, 34.80747209420133], [-78.65984917350387, 34.90859756421459], [-78.84405107752687, 34.867228952204215], [-78.8105912431186, 34.76643542559578], [-78.62670645279256, 34.80747209420133]]","POLYGON ((-78.62670645279256 34.80747209420133, -78.65984917350387 34.90859756421459, -78.84405107752687 34.867228952204215, -78.8105912431186 34.76643542559578, -78.62670645279256 34.80747209420133))",100
1,20151219_165417_0c03,115021,PS2,12/19/2015,16:54:17,NA,PSScene,"[[[-78.81210809968293, 34.96005478026528], [-78.91286017383561, 34.88423232046462], [-78.7731087449336, 34.75947123420727], [-78.67299142987545, 34.83496281825203], [-78.81210809968293, 34.96005478026528]]]","[[-78.81210809968293, 34.96005478026528], [-78.91286017383561, 34.88423232046462], [-78.7731087449336, 34.75947123420727], [-78.67299142987545, 34.83496281825203], [-78.81210809968293, 34.96005478026528]]","POLYGON ((-78.81210809968293 34.96005478026528, -78.91286017383561 34.88423232046462, -78.7731087449336 34.75947123420727, -78.67299142987545 34.83496281825203, -78.81210809968293 34.96005478026528))",100
2,20151219_165416_0c03,115021,PS2,12/19/2015,16:54:16,NA,PSScene,"[[[-78.89556122814797, 34.89630099431942], [-78.99616214491851, 34.82040213144275], [-78.85635198194781, 34.69572209787592], [-78.75642678283616, 34.77133585901917], [-78.89556122814797, 34.89630099431942]]]","[[-78.89556122814797, 34.89630099431942], [-78.99616214491851, 34.82040213144275], [-78.85635198194781, 34.69572209787592], [-78.75642678283616, 34.77133585901917], [-78.89556122814797, 34.89630099431942]]","POLYGON ((-78.89556122814797 34.89630099431942, -78.99616214491851 34.82040213144275, -78.85635198194781 34.69572209787592, -78.75642678283616 34.77133585901917, -78.89556122814797 34.89630099431942))",0.196509852
3,20151118_131055_0b0b,101226,PS1,11/18/2015,13:10:55,NA,PSScene,"[[[-78.84673010181923, 34.84376780654269], [-78.78760194325294, 34.80231024706663], [-78.7120461329297, 34.875344484267174], [-78.77124445562812, 34.916810246942696], [-78.84673010181923, 34.84376780654269]]]","[[-78.84673010181923, 34.84376780654269], [-78.78760194325294, 34.80231024706663], [-78.7120461329297, 34.875344484267174], [-78.77124445562812, 34.916810246942696], [-78.84673010181923, 34.84376780654269]]","POLYGON ((-78.84673010181923 34.84376780654269, -78.78760194325294 34.80231024706663, -78.7120461329297 34.875344484267174, -78.77124445562812 34.916810246942696, -78.84673010181923 34.84376780654269))",100
4,20150815_193705_0b09,85348,PS1,8/15/2015,19:37:05,NA,PSScene,"[[[-78.78946115442488, 34.742845009944794], [-78.73231020425435, 34.78987330563492], [-78.81796308986739, 34.860526573946665], [-78.87503933074629, 34.81347877650315], [-78.78946115442488, 34.742845009944794]]]","[[-78.78946115442488, 34.742845009944794], [-78.73231020425435, 34.78987330563492], [-78.81796308986739, 34.860526573946665], [-78.87503933074629, 34.81347877650315], [-78.78946115442488, 34.742845009944794]]","POLYGON ((-78.78946115442488 34.742845009944794, -78.73231020425435 34.78987330563492, -78.81796308986739 34.860526573946665, -78.87503933074629 34.81347877650315, -78.78946115442488 34.742845009944794))",100
5,20150812_204550_1_0b09,70222,PS1,8/12/2015,20:45:50,NA,PSScene,"[[[-78.83555697297774, 34.81668536745476], [-78.76632080658524, 34.85407661779287], [-78.83407103438546, 34.93850442896138], [-78.90364160883428, 34.90128705460034], [-78.83555697297774, 34.81668536745476]]]","[[-78.83555697297774, 34.81668536745476], [-78.76632080658524, 34.85407661779287], [-78.83407103438546, 34.93850442896138], [-78.90364160883428, 34.90128705460034], [-78.83555697297774, 34.81668536745476]]","POLYGON ((-78.83555697297774 34.81668536745476, -78.76632080658524 34.85407661779287, -78.83407103438546 34.93850442896138, -78.90364160883428 34.90128705460034, -78.83555697297774 34.81668536745476))",100
0,20160424_131913_1_0b07,176921,PS1,4/24/2016,13:19:13,NA,PSScene,"[[[-78.78241322088454, 34.76803956811227], [-78.85062230987768, 34.82940742473812], [-78.80139821609475, 34.86674318605636], [-78.73316882635248, 34.8050962784214], [-78.78241322088454, 34.76803956811227]]]","[[-78.78241322088454, 34.76803956811227], [-78.85062230987768, 34.82940742473812], [-78.80139821609475, 34.86674318605636], [-78.73316882635248, 34.8050962784214], [-78.78241322088454, 34.76803956811227]]","POLYGON ((-78.78241322088454 34.76803956811227, -78.85062230987768 34.82940742473812, -78.80139821609475 34.86674318605636, -78.73316882635248 34.8050962784214, -78.78241322088454 34.76803956811227))",100
1,20160405_213249_0c47,170597,PS2,4/5/2016,21:32:49,NA,PSScene,"[[[-78.78389454597662, 34.66845234865316], [-78.68858761286836, 34.7435465410404], [-78.82568741784448, 34.86205460727138], [-78.92117092545881, 34.78687398309663], [-78.78389454597662, 34.66845234865316]]]","[[-78.78389454597662, 34.66845234865316], [-78.68858761286836, 34.7435465410404], [-78.82568741784448, 34.86205460727138], [-78.92117092545881, 34.78687398309663], [-78.78389454597662, 34.66845234865316]]","POLYGON ((-78.78389454597662 34.66845234865316, -78.68858761286836 34.7435465410404, -78.82568741784448 34.86205460727138, -78.92117092545881 34.78687398309663, -78.78389454597662 34.66845234865316))",100
2,20160405_213250_0c47,170597,PS2,4/5/2016,21:32:50,NA,PSScene,"[[[-78.70324326455541, 34.73203823420971], [-78.60780174939237, 34.806990267031075], [-78.74491882455253, 34.92568384684163], [-78.8403068495716, 34.85061775985802], [-78.70324326455541, 34.73203823420971]]]","[[-78.70324326455541, 34.73203823420971], [-78.60780174939237, 34.806990267031075], [-78.74491882455253, 34.92568384684163], [-78.8403068495716, 34.85061775985802], [-78.70324326455541, 34.73203823420971]]","POLYGON ((-78.70324326455541 34.73203823420971, -78.60780174939237 34.806990267031075, -78.74491882455253 34.92568384684163, -78.8403068495716 34.85061775985802, -78.70324326455541 34.73203823420971))",11.67623998
3,20160227_124413_0b0e,150728,PS1,2/27/2016,12:44:13,NA,PSScene,"[[[-78.83172044820986, 34.787003922975615], [-78.77972350469467, 34.82769814660735], [-78.8536715690654, 34.891997777571234], [-78.90562751822056, 34.85124187274334], [-78.83172044820986, 34.787003922975615]]]","[[-78.83172044820986, 34.787003922975615], [-78.77972350469467, 34.82769814660735], [-78.8536715690654, 34.891997777571234], [-78.90562751822056, 34.85124187274334], [-78.83172044820986, 34.787003922975615]]","POLYGON ((-78.83172044820986 34.787003922975615, -78.77972350469467 34.82769814660735, -78.8536715690654 34.891997777571234, -78.90562751822056 34.85124187274334, -78.83172044820986 34.787003922975615))",100
4,20160225_135831_0c66,149778,PS2,2/25/2016,13:58:31,NA,PSScene,"[[[-78.84258446996382, 34.905589062249625], [-78.94474155744064, 34.82954671830273], [-78.80555162050824, 34.70195287784823], [-78.70309377364876, 34.77812460026588], [-78.84258446996382, 34.905589062249625]]]","[[-78.84258446996382, 34.905589062249625], [-78.94474155744064, 34.82954671830273], [-78.80555162050824, 34.70195287784823], [-78.70309377364876, 34.77812460026588], [-78.84258446996382, 34.905589062249625]]","POLYGON ((-78.84258446996382 34.905589062249625, -78.94474155744064 34.82954671830273, -78.80555162050824 34.70195287784823, -78.70309377364876 34.77812460026588, -78.84258446996382 34.905589062249625))",100
5,20160217_163451_0b0a,146329,PS1,2/17/2016,16:34:51,NA,PSScene,"[[[-78.83668560994394, 34.782291553353254], [-78.75860961770002, 34.8121353648138], [-78.8274107717349, 34.9043670924208], [-78.90691197491016, 34.8747404693759], [-78.83668560994394, 34.782291553353254]]]","[[-78.83668560994394, 34.782291553353254], [-78.75860961770002, 34.8121353648138], [-78.8274107717349, 34.9043670924208], [-78.90691197491016, 34.8747404693759], [-78.83668560994394, 34.782291553353254]]","POLYGON ((-78.83668560994394 34.782291553353254, -78.75860961770002 34.8121353648138, -78.8274107717349 34.9043670924208, -78.90691197491016 34.8747404693759, -78.83668560994394 34.782291553353254))",100
0,20161029_193301_0c45,280632,PS2,10/29/2016,19:33:01,NA,PSScene,"[[[-78.6684367677337, 34.908501980548714], [-78.72005419046887, 34.946382796928944], [-78.87018397488826, 34.80647722208718], [-78.81833249043594, 34.768912976831984], [-78.6684367677337, 34.908501980548714]]]","[[-78.6684367677337, 34.908501980548714], [-78.72005419046887, 34.946382796928944], [-78.87018397488826, 34.80647722208718], [-78.81833249043594, 34.768912976831984], [-78.6684367677337, 34.908501980548714]]","POLYGON ((-78.6684367677337 34.908501980548714, -78.72005419046887 34.946382796928944, -78.87018397488826 34.80647722208718, -78.81833249043594 34.768912976831984, -78.6684367677337 34.908501980548714))",100
1,20160915_150906_0e30,242230,PS2,9/15/2016,15:09:06,NA,PSScene,"[[[-78.92648661294535, 34.8926901202421], [-78.94695325069885, 34.81814877428782], [-78.66071526612518, 34.765135662953185], [-78.64053617539625, 34.83972888061017], [-78.92648661294535, 34.8926901202421]]]","[[-78.92648661294535, 34.8926901202421], [-78.94695325069885, 34.81814877428782], [-78.66071526612518, 34.765135662953185], [-78.64053617539625, 34.83972888061017], [-78.92648661294535, 34.8926901202421]]","POLYGON ((-78.92648661294535 34.8926901202421, -78.94695325069885 34.81814877428782, -78.66071526612518 34.765135662953185, -78.64053617539625 34.83972888061017, -78.92648661294535 34.8926901202421))",100
2,20161230_151233_0e20,343573,PS2,12/30/2016,15:12:33,NA,PSScene,"[[[-78.86513425476805, 34.90245087439094], [-78.88620459253254, 34.82632684130848], [-78.6022401425701, 34.77338046049396], [-78.58153869018297, 34.8495702671135], [-78.86513425476805, 34.90245087439094]]]","[[-78.86513425476805, 34.90245087439094], [-78.88620459253254, 34.82632684130848], [-78.6022401425701, 34.77338046049396], [-78.58153869018297, 34.8495702671135], [-78.86513425476805, 34.90245087439094]]","POLYGON ((-78.86513425476805 34.90245087439094, -78.88620459253254 34.82632684130848, -78.6022401425701 34.77338046049396, -78.58153869018297 34.8495702671135, -78.86513425476805 34.90245087439094))",100
3,20161225_151237_0e20,341279,PS2,12/25/2016,15:12:37,NA,PSScene,"[[[-78.92709882160875, 34.875911565694], [-78.9481525328569, 34.79973430298619], [-78.66409808087617, 34.74684787740912], [-78.64344714802968, 34.823095037059055], [-78.92709882160875, 34.875911565694]]]","[[-78.92709882160875, 34.875911565694], [-78.9481525328569, 34.79973430298619], [-78.66409808087617, 34.74684787740912], [-78.64344714802968, 34.823095037059055], [-78.92709882160875, 34.875911565694]]","POLYGON ((-78.92709882160875 34.875911565694, -78.9481525328569 34.79973430298619, -78.66409808087617 34.74684787740912, -78.64344714802968 34.823095037059055, -78.92709882160875 34.875911565694))",100
4,20161215_171445_1_0c38,328080,PS2,12/15/2016,17:14:45,NA,PSScene,"[[[-78.9094050284477, 34.97670241047455], [-78.96265128299943, 34.93944158522188], [-78.81616359382086, 34.798331604397966], [-78.76332339567769, 34.8358113863444], [-78.9094050284477, 34.97670241047455]]]","[[-78.9094050284477, 34.97670241047455], [-78.96265128299943, 34.93944158522188], [-78.81616359382086, 34.798331604397966], [-78.76332339567769, 34.8358113863444], [-78.9094050284477, 34.97670241047455]]","POLYGON ((-78.9094050284477 34.97670241047455, -78.96265128299943 34.93944158522188, -78.81616359382086 34.798331604397966, -78.76332339567769 34.8358113863444, -78.9094050284477 34.97670241047455))",100
5,20161215_151219_0e20,328377,PS2,12/15/2016,15:12:19,NA,PSScene,"[[[-78.92697418446737, 34.93180210754159], [-78.9479377938809, 34.855889304882496], [-78.6646390659849, 34.80321433112642], [-78.64403164269315, 34.87919143007784], [-78.92697418446737, 34.93180210754159]]]","[[-78.92697418446737, 34.93180210754159], [-78.9479377938809, 34.855889304882496], [-78.6646390659849, 34.80321433112642], [-78.64403164269315, 34.87919143007784], [-78.92697418446737, 34.93180210754159]]","POLYGON ((-78.92697418446737 34.93180210754159, -78.9479377938809 34.855889304882496, -78.6646390659849 34.80321433112642, -78.64403164269315 34.87919143007784, -78.92697418446737 34.93180210754159))",77.05563376
6,20161210_151202_0e20,323591,PS2,12/10/2016,15:12:02,NA,PSScene,"[[[-78.90219570318588, 34.88225286267935], [-78.92297281019636, 34.806564027512835], [-78.64078750692833, 34.75430950158362], [-78.62033617696778, 34.8300481244212], [-78.90219570318588, 34.88225286267935]]]","[[-78.90219570318588, 34.88225286267935], [-78.92297281019636, 34.806564027512835], [-78.64078750692833, 34.75430950158362], [-78.62033617696778, 34.8300481244212], [-78.90219570318588, 34.88225286267935]]","POLYGON ((-78.90219570318588 34.88225286267935, -78.92297281019636 34.806564027512835, -78.64078750692833 34.75430950158362, -78.62033617696778 34.8300481244212, -78.90219570318588 34.88225286267935))",100
7,20161205_151135_0e20,317481,PS2,12/5/2016,15:11:35,NA,PSScene,"[[[-78.82403739090957, 34.89134437864833], [-78.84475487152233, 34.81596221417286], [-78.56364243590608, 34.7639422109422], [-78.54335990116985, 34.83939697611135], [-78.82403739090957, 34.89134437864833]]]","[[-78.82403739090957, 34.89134437864833], [-78.84475487152233, 34.81596221417286], [-78.56364243590608, 34.7639422109422], [-78.54335990116985, 34.83939697611135], [-78.82403739090957, 34.89134437864833]]","POLYGON ((-78.82403739090957 34.89134437864833, -78.84475487152233 34.81596221417286, -78.56364243590608 34.7639422109422, -78.54335990116985 34.83939697611135, -78.82403739090957 34.89134437864833))",100
8,20161127_151138_0e26,307378,PS2,11/27/2016,15:11:38,NA,PSScene,"[[[-79.01149233539165, 34.896589068721745], [-79.03163247132089, 34.822155523686924], [-78.75004602591538, 34.77078158585498], [-78.7302194410619, 34.84530180959337], [-79.01149233539165, 34.896589068721745]]]","[[-79.01149233539165, 34.896589068721745], [-79.03163247132089, 34.822155523686924], [-78.75004602591538, 34.77078158585498], [-78.7302194410619, 34.84530180959337], [-79.01149233539165, 34.896589068721745]]","POLYGON ((-79.01149233539165 34.896589068721745, -79.03163247132089 34.822155523686924, -78.75004602591538 34.77078158585498, -78.7302194410619 34.84530180959337, -79.01149233539165 34.896589068721745))",100
9,20161119_151144_0e0f,297897,PS2,11/19/2016,15:11:44,NA,PSScene,"[[[-78.95331129526032, 34.88264819687217], [-78.973206652671, 34.80848943483608], [-78.69654003022188, 34.75861702602377], [-78.67710440119606, 34.83284899863634], [-78.95331129526032, 34.88264819687217]]]","[[-78.95331129526032, 34.88264819687217], [-78.973206652671, 34.80848943483608], [-78.69654003022188, 34.75861702602377], [-78.67710440119606, 34.83284899863634], [-78.95331129526032, 34.88264819687217]]","POLYGON ((-78.95331129526032 34.88264819687217, -78.973206652671 34.80848943483608, -78.69654003022188 34.75861702602377, -78.67710440119606 34.83284899863634, -78.95331129526032 34.88264819687217))",100
10,20161119_151144_1_0e0f,297897,PS2,11/19/2016,15:11:44,NA,PSScene,"[[[-78.95331123102564, 34.88264871520595], [-78.97320789502339, 34.80849023820238], [-78.69654071775473, 34.75861827977526], [-78.67710640779988, 34.83285016429702], [-78.95331123102564, 34.88264871520595]]]","[[-78.95331123102564, 34.88264871520595], [-78.97320789502339, 34.80849023820238], [-78.69654071775473, 34.75861827977526], [-78.67710640779988, 34.83285016429702], [-78.95331123102564, 34.88264871520595]]","POLYGON ((-78.95331123102564 34.88264871520595, -78.97320789502339 34.80849023820238, -78.69654071775473 34.75861827977526, -78.67710640779988 34.83285016429702, -78.95331123102564 34.88264871520595))",100
11,20161027_151002_0e0e,278595,PS2,10/27/2016,15:10:02,NA,PSScene,"[[[-78.84542453771203, 34.84172263338887], [-78.86515628111019, 34.767101918558744], [-78.58701851781521, 34.71754360425719], [-78.56768241521289, 34.79220925258355], [-78.84542453771203, 34.84172263338887]]]","[[-78.84542453771203, 34.84172263338887], [-78.86515628111019, 34.767101918558744], [-78.58701851781521, 34.71754360425719], [-78.56768241521289, 34.79220925258355], [-78.84542453771203, 34.84172263338887]]","POLYGON ((-78.84542453771203 34.84172263338887, -78.86515628111019 34.767101918558744, -78.58701851781521 34.71754360425719, -78.56768241521289 34.79220925258355, -78.84542453771203 34.84172263338887))",100
12,20161027_151001_0e0e,278595,PS2,10/27/2016,15:10:01,NA,PSScene,"[[[-78.82875775533002, 34.91255474029462], [-78.84847146090993, 34.83794393381071], [-78.57009145362959, 34.788421807420185], [-78.55075732102411, 34.86309001696989], [-78.82875775533002, 34.91255474029462]]]","[[-78.82875775533002, 34.91255474029462], [-78.84847146090993, 34.83794393381071], [-78.57009145362959, 34.788421807420185], [-78.55075732102411, 34.86309001696989], [-78.82875775533002, 34.91255474029462]]","POLYGON ((-78.82875775533002 34.91255474029462, -78.84847146090993 34.83794393381071, -78.57009145362959 34.788421807420185, -78.55075732102411 34.86309001696989, -78.82875775533002 34.91255474029462))",59.15842707
13,20161026_130153_0c42,277478,PS2,10/26/2016,13:01:53,NA,PSScene,"[[[-78.77955176348797, 34.876680508780396], [-78.8289856580977, 34.83755114319962], [-78.67440202928645, 34.70525149121334], [-78.6252434340396, 34.744502458058484], [-78.77955176348797, 34.876680508780396]]]","[[-78.77955176348797, 34.876680508780396], [-78.8289856580977, 34.83755114319962], [-78.67440202928645, 34.70525149121334], [-78.6252434340396, 34.744502458058484], [-78.77955176348797, 34.876680508780396]]","POLYGON ((-78.77955176348797 34.876680508780396, -78.8289856580977 34.83755114319962, -78.67440202928645 34.70525149121334, -78.6252434340396 34.744502458058484, -78.77955176348797 34.876680508780396))",88.33600164
14,20161026_130153_1_0c42,277478,PS2,10/26/2016,13:01:53,NA,PSScene,"[[[-78.82431665805952, 34.83956216918101], [-78.8737182872909, 34.80040969086204], [-78.71911278901966, 34.66812232657451], [-78.66996140668691, 34.707395810955646], [-78.82431665805952, 34.83956216918101]]]","[[-78.82431665805952, 34.83956216918101], [-78.8737182872909, 34.80040969086204], [-78.71911278901966, 34.66812232657451], [-78.66996140668691, 34.707395810955646], [-78.82431665805952, 34.83956216918101]]","POLYGON ((-78.82431665805952 34.83956216918101, -78.8737182872909 34.80040969086204, -78.71911278901966 34.66812232657451, -78.66996140668691 34.707395810955646, -78.82431665805952 34.83956216918101))",100
15,20161026_151051_0e14,277641,PS2,10/26/2016,15:10:51,NA,PSScene,"[[[-78.98260932630718, 34.87172091286837], [-79.00257603603126, 34.79688850011875], [-78.72356712695195, 34.746682181996604], [-78.70394135155892, 34.82157468134816], [-78.98260932630718, 34.87172091286837]]]","[[-78.98260932630718, 34.87172091286837], [-79.00257603603126, 34.79688850011875], [-78.72356712695195, 34.746682181996604], [-78.70394135155892, 34.82157468134816], [-78.98260932630718, 34.87172091286837]]","POLYGON ((-78.98260932630718 34.87172091286837, -79.00257603603126 34.79688850011875, -78.72356712695195 34.746682181996604, -78.70394135155892 34.82157468134816, -78.98260932630718 34.87172091286837))",100
16,20161025_151034_0e1f,276793,PS2,10/25/2016,15:10:34,NA,PSScene,"[[[-78.8844313317507, 34.870591719245944], [-78.90413943219953, 34.79602575445573], [-78.62440564074248, 34.74607169371349], [-78.60497149225344, 34.820668070499984], [-78.8844313317507, 34.870591719245944]]]","[[-78.8844313317507, 34.870591719245944], [-78.90413943219953, 34.79602575445573], [-78.62440564074248, 34.74607169371349], [-78.60497149225344, 34.820668070499984], [-78.8844313317507, 34.870591719245944]]","POLYGON ((-78.8844313317507 34.870591719245944, -78.90413943219953 34.79602575445573, -78.62440564074248 34.74607169371349, -78.60497149225344 34.820668070499984, -78.8844313317507 34.870591719245944))",100
17,20161025_132851_0c60,276657,PS2,10/25/2016,13:28:51,NA,PSScene,"[[[-78.93080664348892, 34.954849963269936], [-78.97937671260489, 34.917244129658656], [-78.82575445177586, 34.78325156288261], [-78.77753241575846, 34.82101793033616], [-78.93080664348892, 34.954849963269936]]]","[[-78.93080664348892, 34.954849963269936], [-78.97937671260489, 34.917244129658656], [-78.82575445177586, 34.78325156288261], [-78.77753241575846, 34.82101793033616], [-78.93080664348892, 34.954849963269936]]","POLYGON ((-78.93080664348892 34.954849963269936, -78.97937671260489 34.917244129658656, -78.82575445177586 34.78325156288261, -78.77753241575846 34.82101793033616, -78.93080664348892 34.954849963269936))",100
18,20161018_162527_0c12,270918,PS2,10/18/2016,16:25:27,NA,PSScene,"[[[-78.93025702028872, 34.972191194930126], [-79.03271874383373, 34.8811160099481], [-78.86623527327895, 34.7538594074353], [-78.76378012612744, 34.84479458569838], [-78.93025702028872, 34.972191194930126]]]","[[-78.93025702028872, 34.972191194930126], [-79.03271874383373, 34.8811160099481], [-78.86623527327895, 34.7538594074353], [-78.76378012612744, 34.84479458569838], [-78.93025702028872, 34.972191194930126]]","POLYGON ((-78.93025702028872 34.972191194930126, -79.03271874383373 34.8811160099481, -78.86623527327895 34.7538594074353, -78.76378012612744 34.84479458569838, -78.93025702028872 34.972191194930126))",100
19,20161015_173517_0c0b,268686,PS2,10/15/2016,17:35:17,NA,PSScene,"[[[-78.87191557333466, 34.94808387271696], [-78.92096499102911, 34.90683849407921], [-78.75931889338453, 34.77674188311816], [-78.71060540353788, 34.81805228036415], [-78.87191557333466, 34.94808387271696]]]","[[-78.87191557333466, 34.94808387271696], [-78.92096499102911, 34.90683849407921], [-78.75931889338453, 34.77674188311816], [-78.71060540353788, 34.81805228036415], [-78.87191557333466, 34.94808387271696]]","POLYGON ((-78.87191557333466 34.94808387271696, -78.92096499102911 34.90683849407921, -78.75931889338453 34.77674188311816, -78.71060540353788 34.81805228036415, -78.87191557333466 34.94808387271696))",100
20,20161015_173517_1_0c0b,268686,PS2,10/15/2016,17:35:17,NA,PSScene,"[[[-78.91863316572797, 34.911601411690995], [-78.96765467895878, 34.870333098979714], [-78.80603561093689, 34.74029346032842], [-78.7573466463764, 34.78162920775618], [-78.91863316572797, 34.911601411690995]]]","[[-78.91863316572797, 34.911601411690995], [-78.96765467895878, 34.870333098979714], [-78.80603561093689, 34.74029346032842], [-78.7573466463764, 34.78162920775618], [-78.91863316572797, 34.911601411690995]]","POLYGON ((-78.91863316572797 34.911601411690995, -78.96765467895878 34.870333098979714, -78.80603561093689 34.74029346032842, -78.7573466463764 34.78162920775618, -78.91863316572797 34.911601411690995))",63.15158769
21,20161011_151001_0e19,265611,PS2,10/11/2016,15:10:01,NA,PSScene,"[[[-78.95685333268166, 34.90749551155975], [-78.97600028509748, 34.832435025218665], [-78.69313566712698, 34.78384283318177], [-78.67433876542356, 34.858945369577434], [-78.95685333268166, 34.90749551155975]]]","[[-78.95685333268166, 34.90749551155975], [-78.97600028509748, 34.832435025218665], [-78.69313566712698, 34.78384283318177], [-78.67433876542356, 34.858945369577434], [-78.95685333268166, 34.90749551155975]]","POLYGON ((-78.95685333268166 34.90749551155975, -78.97600028509748 34.832435025218665, -78.69313566712698 34.78384283318177, -78.67433876542356 34.858945369577434, -78.95685333268166 34.90749551155975))",100
22,20160909_150940_0e20,236832,PS2,9/9/2016,15:09:40,0,PSScene,"[[[-79.06948749820951, 34.8815319340587], [-79.09081505678533, 34.804062306591966], [-78.80543631092341, 34.75102046005657], [-78.78440053942246, 34.82853952959912], [-79.06948749820951, 34.8815319340587]]]","[[-79.06948749820951, 34.8815319340587], [-79.09081505678533, 34.804062306591966], [-78.80543631092341, 34.75102046005657], [-78.78440053942246, 34.82853952959912], [-79.06948749820951, 34.8815319340587]]","POLYGON ((-79.06948749820951 34.8815319340587, -79.09081505678533 34.804062306591966, -78.80543631092341 34.75102046005657, -78.78440053942246 34.82853952959912, -79.06948749820951 34.8815319340587))",91.76451658
23,20160909_150939_0e20,236832,PS2,9/9/2016,15:09:39,NA,PSScene,"[[[-79.04970641921926, 34.95024706426139], [-79.07106590756233, 34.87278146464757], [-78.78544556259185, 34.81970604564622], [-78.76439003078282, 34.89722195246805], [-79.04970641921926, 34.95024706426139]]]","[[-79.04970641921926, 34.95024706426139], [-79.07106590756233, 34.87278146464757], [-78.78544556259185, 34.81970604564622], [-78.76439003078282, 34.89722195246805], [-79.04970641921926, 34.95024706426139]]","POLYGON ((-79.04970641921926 34.95024706426139, -79.07106590756233 34.87278146464757, -78.78544556259185 34.81970604564622, -78.76439003078282 34.89722195246805, -79.04970641921926 34.95024706426139))",100
24,20160819_150825_0e20,224267,PS2,8/19/2016,15:08:25,NA,PSScene,"[[[-78.94244699316438, 34.87307495886985], [-78.96392770505216, 34.79684856456511], [-78.68306989364075, 34.74347915103528], [-78.66193983176474, 34.8197686918375], [-78.94244699316438, 34.87307495886985]]]","[[-78.94244699316438, 34.87307495886985], [-78.96392770505216, 34.79684856456511], [-78.68306989364075, 34.74347915103528], [-78.66193983176474, 34.8197686918375], [-78.94244699316438, 34.87307495886985]]","POLYGON ((-78.94244699316438 34.87307495886985, -78.96392770505216 34.79684856456511, -78.68306989364075 34.74347915103528, -78.66193983176474 34.8197686918375, -78.94244699316438 34.87307495886985))",100
25,20160613_185607_0c22,193856,PS2,6/13/2016,18:56:07,NA,PSScene,"[[[-78.72801726235942, 34.73201861158177], [-78.68069708042954, 34.77597559768347], [-78.85361763863281, 34.901739980649474], [-78.90058012533741, 34.857350517276124], [-78.72801726235942, 34.73201861158177]]]","[[-78.72801726235942, 34.73201861158177], [-78.68069708042954, 34.77597559768347], [-78.85361763863281, 34.901739980649474], [-78.90058012533741, 34.857350517276124], [-78.72801726235942, 34.73201861158177]]","POLYGON ((-78.72801726235942 34.73201861158177, -78.68069708042954 34.77597559768347, -78.85361763863281 34.901739980649474, -78.90058012533741 34.857350517276124, -78.72801726235942 34.73201861158177))",100
0,20170416_154227_0c24,468529,PS2,4/16/2017,15:42:27,NA,PSScene,"[[[-78.81967006954761, 34.85913350554005], [-78.86843053254151, 34.82167290183206], [-78.72382710079393, 34.69418454989093], [-78.6753523763729, 34.731807910299246], [-78.81967006954761, 34.85913350554005]]]","[[-78.81967006954761, 34.85913350554005], [-78.86843053254151, 34.82167290183206], [-78.72382710079393, 34.69418454989093], [-78.6753523763729, 34.731807910299246], [-78.81967006954761, 34.85913350554005]]","POLYGON ((-78.81967006954761 34.85913350554005, -78.86843053254151 34.82167290183206, -78.72382710079393 34.69418454989093, -78.6753523763729 34.731807910299246, -78.81967006954761 34.85913350554005))",100
1,20170530_214858_1_0c27,524634,PS2,5/30/2017,21:48:58,NA,PSScene,"[[[-78.79425549049195, 34.77576865334943], [-78.74879220410385, 34.810858648228844], [-78.88952172383885, 34.93384729065443], [-78.93470128869528, 34.89844077634513], [-78.79425549049195, 34.77576865334943]]]","[[-78.79425549049195, 34.77576865334943], [-78.74879220410385, 34.810858648228844], [-78.88952172383885, 34.93384729065443], [-78.93470128869528, 34.89844077634513], [-78.79425549049195, 34.77576865334943]]","POLYGON ((-78.79425549049195 34.77576865334943, -78.74879220410385 34.810858648228844, -78.88952172383885 34.93384729065443, -78.93470128869528 34.89844077634513, -78.79425549049195 34.77576865334943))",100
